========================================
YOGA MAT PREMIUM - PRODUCT PAGE
========================================

Product: Yoga Mat Premium
Brand: ZenFlex
Price: $34.99
SKU: SPRT001
Category: Sports & Outdoors

PRODUCT DESCRIPTION:
Elevate your yoga practice with the ZenFlex Premium Yoga Mat. Made from eco-friendly
TPE material, this mat provides the perfect balance of cushioning and stability. The
dual-layer construction offers superior grip on both sides, ensuring your mat stays
in place on any surface.

Key Features:
- Eco-friendly TPE material, free of PVC, latex, and toxic chemicals
- Extra thick 6mm cushioning for joint protection
- Double-sided non-slip texture
- Lightweight (2.5 lbs) and easy to carry
- Includes carrying strap
- Dimensions: 72" x 24" (183cm x 61cm)
- Available in 8 colors
- Closed-cell construction prevents sweat absorption
- Easy to clean with damp cloth

Best For:
- Yoga (all styles including hot yoga)
- Pilates
- Floor exercises
- Meditation
- Stretching

CUSTOMER REVIEWS:
----------------------------------------

Review 1 - Emily R. (Verified Purchase) - 5 stars
"Finally found the perfect yoga mat! The thickness is just right - my knees don't
hurt during kneeling poses anymore. The grip is amazing even when I sweat during
hot yoga. Love the sage green color too!"

Review 2 - Michael B. (Verified Purchase) - 4 stars
"Good quality mat for the price. Took a few days for the initial smell to go away
but now it's fine. Grip is excellent and it hasn't stretched or torn after 6 months
of daily use."

Review 3 - Priya K. (Verified Purchase) - 5 stars
"As a yoga instructor, I've tried dozens of mats. This one offers excellent value.
My students always ask about it. The carrying strap is a nice bonus. Will definitely
buy another when this one wears out."

Review 4 - Tom J. (Verified Purchase) - 5 stars
"Use this for my daily stretching routine and occasional yoga. The cushioning is
perfect for my hardwood floors. Very happy with the purchase. Cleaning is easy -
just wipe it down and let it air dry."
2024-10-03,SPRT002,Resistance Bands Set,Sports & Outdoors,48,19.99,959.52,East
2024-10-03,HOME003,Air Fryer 5.5L,Home & Kitchen,17,121.05,2057.85,North
2024-10-03,FOOD003,Green Tea Collection,Food & Grocery,41,19.99,819.59,Central
2024-10-04,ELEC001,Wireless Bluetooth Headphones,Electronics,16,64.21,1027.36,South
2024-10-04,BEAU001,Vitamin C Serum,Beauty & Personal Care,25,28.99,724.75,Central
2024-10-04,TOYS003,Remote Control Car,Toys & Games,23,49.99,1149.77,South
2024-10-04,CLTH004,Denim Jeans Classic,Clothing,67,54.99,3684.33,West
2024-10-04,CLTH001,Running Shoes Men,Clothing,25,89.99,2249.75,Central
2024-10-04,BEAU001,Vitamin C Serum,Beauty & Personal Care,1,28.99,28.99,East
2024-10-04,SPRT004,Camping Tent 4-Person,Sports & Outdoors,12,149.99,1799.88,Central
2024-10-04,BOOK002,The Art of Cooking,Books,24,32.99,791.76,South
2024-10-04,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,7,20.85,145.95,North
2024-10-04,ELEC002,USB-C Fast Charger,Electronics,55,24.99,1374.45,East
2024-10-05,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,16,24.99,399.84,North
2024-10-05,PETS003,Pet Carrier Medium,Pet Supplies,39,33.91,1322.49,West
2024-10-05,FOOD002,Protein Bars Box (12),Food & Grocery,27,29.99,809.73,Central
2024-10-05,ELEC001,Wireless Bluetooth Headphones,Electronics,60,79.99,4799.4,East
2024-10-05,TOYS001,Building Blocks Set 500pc,Toys & Games,8,39.99,319.92,South
2024-10-05,BOOK003,Mystery Novel Collection,Books,43,24.99,1074.57,South
2024-10-06,TOYS002,Board Game Strategy,Toys & Games,37,34.99,1294.63,South
2024-10-06,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,34,89.99,3059.66,South
2024-10-06,ELEC004,Smart Watch Pro,Electronics,70,199.99,13999.3,South
2024-10-06,ELEC002,USB-C Fast Charger,Electronics,3,24.99,74.97,East
2024-10-06,SPRT002,Resistance Bands Set,Sports & Outdoors,4,19.99,79.96,East
2024-10-06,FOOD002,Protein Bars Box (12),Food & Grocery,23,29.99,689.77,Central
2024-10-06,PETS002,Cat Scratching Post,Pet Supplies,45,44.99,2024.55,Central
2024-10-06,OFFC004,Wireless Mouse,Office Supplies,30,29.99,899.7,Central
2024-10-06,CLTH001,Running Shoes Men,Clothing,57,89.99,5129.43,North
2024-10-06,CLTH001,Running Shoes Men,Clothing,55,89.99,4949.45,West
2024-10-06,OFFC004,Wireless Mouse,Office Supplies,14,29.99,419.86,East
2024-10-06,CLTH002,Winter Jacket Women,Clothing,49,105.36,5162.64,South
2024-10-06,HOME003,Air Fryer 5.5L,Home & Kitchen,42,129.99,5459.58,West
2024-10-06,ELEC003,Portable Power Bank 20000mAh,Electronics,46,49.99,2299.54,East
2024-10-06,BOOK001,Python Programming Guide,Books,48,44.99,2159.52,West
2024-10-07,PETS001,Dog Food Premium 10kg,Pet Supplies,48,54.99,2639.52,Central
2024-10-07,BEAU003,Electric Toothbrush,Beauty & Personal Care,37,49.99,1849.63,South
2024-10-07,ELEC002,USB-C Fast Charger,Electronics,61,24.99,1524.39,North
2024-10-07,OFFC001,Ergonomic Office Chair,Office Supplies,37,249.99,9249.63,South
2024-10-07,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,9,24.99,224.91,West
2024-10-07,ELEC001,Wireless Bluetooth Headphones,Electronics,54,79.99,4319.46,Central
2024-10-07,BEAU003,Electric Toothbrush,Beauty & Personal Care,17,49.99,849.83,Central
2024-10-07,BOOK003,Mystery Novel Collection,Books,28,24.99,699.72,Central
2024-10-07,SPRT003,Hiking Backpack 40L,Sports & Outdoors,27,79.99,2159.73,West
2024-10-07,BEAU001,Vitamin C Serum,Beauty & Personal Care,32,24.98,799.36,South
2024-10-07,TOYS001,Building Blocks Set 500pc,Toys & Games,38,39.99,1519.62,Central
2024-10-07,OFFC002,LED Desk Lamp,Office Supplies,7,39.99,279.93,North
2024-10-07,TOYS002,Board Game Strategy,Toys & Games,50,34.99,1749.5,East
2024-10-08,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,17,89.99,1529.83,East
2024-10-08,SPRT004,Camping Tent 4-Person,Sports & Outdoors,3,124.73,374.19,South
2024-10-08,TOYS001,Building Blocks Set 500pc,Toys & Games,45,39.99,1799.55,West
2024-10-08,CLTH001,Running Shoes Men,Clothing,1,77.62,77.62,South
2024-10-08,CLTH003,Cotton T-Shirt Pack (3),Clothing,73,29.99,2189.27,North
2024-10-08,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,23,24.99,574.77,West
2024-10-08,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,35,89.99,3149.65,East
2024-10-08,PETS003,Pet Carrier Medium,Pet Supplies,45,39.99,1799.55,South
2024-10-08,TOYS003,Remote Control Car,Toys & Games,25,49.99,1249.75,North
2024-10-08,SPRT004,Camping Tent 4-Person,Sports & Outdoors,8,130.63,1045.04,North
2024-10-09,ELEC003,Portable Power Bank 20000mAh,Electronics,49,49.99,2449.51,South
2024-10-09,FOOD003,Green Tea Collection,Food & Grocery,46,19.99,919.54,West
2024-10-09,BOOK002,The Art of Cooking,Books,34,32.99,1121.66,North
2024-10-09,PETS003,Pet Carrier Medium,Pet Supplies,32,39.99,1279.68,East
2024-10-09,CLTH003,Cotton T-Shirt Pack (3),Clothing,37,29.99,1109.63,North
2024-10-09,OFFC004,Wireless Mouse,Office Supplies,33,29.99,989.67,South
2024-10-09,PETS001,Dog Food Premium 10kg,Pet Supplies,29,51.87,1504.23,South
2024-10-09,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,23,77.73,1787.79,North
2024-10-09,ELEC001,Wireless Bluetooth Headphones,Electronics,27,79.99,2159.73,East
2024-10-09,CLTH003,Cotton T-Shirt Pack (3),Clothing,33,29.99,989.67,East
2024-10-09,PETS002,Cat Scratching Post,Pet Supplies,29,44.99,1304.71,East
2024-10-09,BOOK002,The Art of Cooking,Books,41,32.99,1352.59,South
2024-10-10,HOME003,Air Fryer 5.5L,Home & Kitchen,24,129.99,3119.76,West
2024-10-10,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,34,89.99,3059.66,West
2024-10-10,ELEC003,Portable Power Bank 20000mAh,Electronics,24,42.53,1020.72,East
2024-10-10,SPRT001,Yoga Mat Premium,Sports & Outdoors,17,34.99,594.83,North
2024-10-10,BEAU003,Electric Toothbrush,Beauty & Personal Care,1,49.99,49.99,East
2024-10-10,PETS001,Dog Food Premium 10kg,Pet Supplies,2,54.99,109.98,West
2024-10-10,CLTH001,Running Shoes Men,Clothing,10,89.99,899.9,East
2024-10-10,ELEC002,USB-C Fast Charger,Electronics,4,24.99,99.96,East
2024-10-10,BEAU003,Electric Toothbrush,Beauty & Personal Care,25,49.99,1249.75,West
2024-10-10,PETS002,Cat Scratching Post,Pet Supplies,34,39.33,1337.22,West
2024-10-10,TOYS003,Remote Control Car,Toys & Games,8,49.99,399.92,North
2024-10-10,ELEC003,Portable Power Bank 20000mAh,Electronics,72,49.99,3599.28,East
2024-10-10,OFFC001,Ergonomic Office Chair,Office Supplies,1,249.99,249.99,Central
2024-10-10,CLTH001,Running Shoes Men,Clothing,46,80.63,3708.98,East
2024-10-10,PETS003,Pet Carrier Medium,Pet Supplies,31,34.83,1079.73,North
2024-10-10,SPRT004,Camping Tent 4-Person,Sports & Outdoors,41,149.99,6149.59,West
2024-10-11,ELEC003,Portable Power Bank 20000mAh,Electronics,31,49.99,1549.69,North
2024-10-11,TOYS003,Remote Control Car,Toys & Games,2,49.99,99.98,Central
2024-10-11,SPRT003,Hiking Backpack 40L,Sports & Outdoors,21,79.99,1679.79,West
2024-10-11,SPRT002,Resistance Bands Set,Sports & Outdoors,41,19.99,819.59,North
2024-10-11,BOOK003,Mystery Novel Collection,Books,35,24.99,874.65,West
2024-10-11,PETS002,Cat Scratching Post,Pet Supplies,46,44.99,2069.54,East
2024-10-11,CLTH001,Running Shoes Men,Clothing,57,89.99,5129.43,South
2024-10-11,ELEC001,Wireless Bluetooth Headphones,Electronics,69,79.99,5519.31,North
2024-10-11,FOOD002,Protein Bars Box (12),Food & Grocery,12,29.99,359.88,East
2024-10-11,BOOK002,The Art of Cooking,Books,40,32.99,1319.6,Central
2024-10-11,ELEC001,Wireless Bluetooth Headphones,Electronics,66,79.99,5279.34,East
2024-10-11,SPRT003,Hiking Backpack 40L,Sports & Outdoors,13,79.99,1039.87,Central
2024-10-12,BOOK002,The Art of Cooking,Books,49,32.99,1616.51,South
2024-10-12,CLTH003,Cotton T-Shirt Pack (3),Clothing,9,29.99,269.91,North
2024-10-12,TOYS002,Board Game Strategy,Toys & Games,13,34.99,454.87,West
2024-10-12,OFFC004,Wireless Mouse,Office Supplies,6,29.99,179.94,Central
2024-10-12,ELEC001,Wireless Bluetooth Headphones,Electronics,70,64.39,4507.3,West
2024-10-12,OFFC003,Notebook Set Premium,Office Supplies,1,17.81,17.81,South
2024-10-12,BEAU002,Hair Dryer Professional,Beauty & Personal Care,40,59.99,2399.6,South
2024-10-13,FOOD003,Green Tea Collection,Food & Grocery,17,19.99,339.83,North
2024-10-13,PETS003,Pet Carrier Medium,Pet Supplies,7,39.99,279.93,Central
2024-10-13,BEAU001,Vitamin C Serum,Beauty & Personal Care,46,25.86,1189.56,North
2024-10-13,OFFC003,Notebook Set Premium,Office Supplies,46,18.99,873.54,Central
2024-10-13,ELEC003,Portable Power Bank 20000mAh,Electronics,28,49.99,1399.72,East
2024-10-13,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,7,89.99,629.93,Central
2024-10-13,OFFC001,Ergonomic Office Chair,Office Supplies,40,227.26,9090.4,North
2024-10-13,TOYS003,Remote Control Car,Toys & Games,43,49.99,2149.57,Central
2024-10-13,BEAU002,Hair Dryer Professional,Beauty & Personal Care,2,59.99,119.98,Central
2024-10-13,PETS003,Pet Carrier Medium,Pet Supplies,38,39.99,1519.62,Central
2024-10-13,OFFC002,LED Desk Lamp,Office Supplies,29,33.28,965.12,Central
2024-10-13,CLTH004,Denim Jeans Classic,Clothing,27,54.99,1484.73,South
2024-10-14,ELEC002,USB-C Fast Charger,Electronics,57,24.99,1424.43,Central
2024-10-14,CLTH001,Running Shoes Men,Clothing,75,89.99,6749.25,South
2024-10-14,CLTH001,Running Shoes Men,Clothing,3,89.99,269.97,Central
2024-10-14,CLTH001,Running Shoes Men,Clothing,40,89.99,3599.6,North
2024-10-14,OFFC003,Notebook Set Premium,Office Supplies,47,18.99,892.53,West
2024-10-14,FOOD002,Protein Bars Box (12),Food & Grocery,31,29.99,929.69,Central
2024-10-14,BOOK003,Mystery Novel Collection,Books,27,24.99,674.73,Central
2024-10-14,BEAU003,Electric Toothbrush,Beauty & Personal Care,38,49.99,1899.62,North
2024-10-14,ELEC002,USB-C Fast Charger,Electronics,39,22.76,887.64,East
2024-10-14,FOOD003,Green Tea Collection,Food & Grocery,25,19.99,499.75,South
2024-10-14,CLTH001,Running Shoes Men,Clothing,72,89.99,6479.28,North
2024-10-15,FOOD002,Protein Bars Box (12),Food & Grocery,7,29.99,209.93,West
2024-10-15,SPRT002,Resistance Bands Set,Sports & Outdoors,46,19.99,919.54,North
2024-10-15,TOYS001,Building Blocks Set 500pc,Toys & Games,26,39.99,1039.74,East
2024-10-15,TOYS003,Remote Control Car,Toys & Games,23,49.99,1149.77,East
2024-10-15,CLTH004,Denim Jeans Classic,Clothing,7,54.99,384.93,South
2024-10-15,ELEC003,Portable Power Bank 20000mAh,Electronics,73,49.99,3649.27,North
2024-10-15,ELEC001,Wireless Bluetooth Headphones,Electronics,37,79.99,2959.63,West
2024-10-15,BEAU001,Vitamin C Serum,Beauty & Personal Care,28,24.22,678.16,East
2024-10-15,OFFC001,Ergonomic Office Chair,Office Supplies,24,249.99,5999.76,East
2024-10-15,SPRT001,Yoga Mat Premium,Sports & Outdoors,40,34.99,1399.6,North
2024-10-15,PETS001,Dog Food Premium 10kg,Pet Supplies,38,54.99,2089.62,East
2024-10-15,SPRT003,Hiking Backpack 40L,Sports & Outdoors,25,66.88,1672.0,Central
2024-10-15,BOOK002,The Art of Cooking,Books,15,32.99,494.85,East
2024-10-15,ELEC001,Wireless Bluetooth Headphones,Electronics,48,79.99,3839.52,East
2024-10-15,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,25,23.51,587.75,South
2024-10-15,BEAU002,Hair Dryer Professional,Beauty & Personal Care,29,59.99,1739.71,Central
2024-10-15,TOYS002,Board Game Strategy,Toys & Games,48,34.99,1679.52,Central
2024-10-16,SPRT003,Hiking Backpack 40L,Sports & Outdoors,17,79.99,1359.83,East
2024-10-16,BOOK002,The Art of Cooking,Books,46,29.96,1378.16,South
2024-10-16,BOOK001,Python Programming Guide,Books,31,44.99,1394.69,North
2024-10-16,ELEC002,USB-C Fast Charger,Electronics,28,24.99,699.72,South
2024-10-16,BOOK001,Python Programming Guide,Books,8,44.99,359.92,South
2024-10-16,TOYS002,Board Game Strategy,Toys & Games,20,31.84,636.8,North
2024-10-16,OFFC001,Ergonomic Office Chair,Office Supplies,24,213.37,5120.88,West
2024-10-16,BOOK001,Python Programming Guide,Books,18,44.99,809.82,Central
2024-10-16,BEAU003,Electric Toothbrush,Beauty & Personal Care,44,49.99,2199.56,West
2024-10-16,HOME002,Non-Stick Frying Pan Set,Home & Kitchen,28,45.99,1287.72,Central
2024-10-16,TOYS002,Board Game Strategy,Toys & Games,14,34.99,489.86,Central
2024-10-16,CLTH004,Denim Jeans Classic,Clothing,49,54.99,2694.51,North
2024-10-17,ELEC002,USB-C Fast Charger,Electronics,13,24.99,324.87,West
2024-10-17,BOOK002,The Art of Cooking,Books,2,32.99,65.98,South
2024-10-17,OFFC003,Notebook Set Premium,Office Supplies,24,18.99,455.76,Central
2024-10-17,OFFC001,Ergonomic Office Chair,Office Supplies,35,249.99,8749.65,East
2024-10-17,HOME002,Non-Stick Frying Pan Set,Home & Kitchen,48,45.99,2207.52,East
2024-10-17,OFFC002,LED Desk Lamp,Office Supplies,33,37.81,1247.73,Central
2024-10-17,TOYS003,Remote Control Car,Toys & Games,46,40.47,1861.62,North
2024-10-17,PETS001,Dog Food Premium 10kg,Pet Supplies,41,54.99,2254.59,North
2024-10-17,CLTH001,Running Shoes Men,Clothing,63,89.99,5669.37,South
2024-10-18,PETS002,Cat Scratching Post,Pet Supplies,9,44.99,404.91,Central
2024-10-18,SPRT002,Resistance Bands Set,Sports & Outdoors,23,19.99,459.77,North
2024-10-18,SPRT003,Hiking Backpack 40L,Sports & Outdoors,25,70.5,1762.5,South
2024-10-18,CLTH004,Denim Jeans Classic,Clothing,19,54.99,1044.81,South
2024-10-18,PETS002,Cat Scratching Post,Pet Supplies,46,44.99,2069.54,Central
2024-10-18,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,39,89.99,3509.61,North
2024-10-18,SPRT003,Hiking Backpack 40L,Sports & Outdoors,30,79.99,2399.7,North
2024-10-18,BEAU002,Hair Dryer Professional,Beauty & Personal Care,6,59.99,359.94,South
2024-10-18,FOOD003,Green Tea Collection,Food & Grocery,20,19.99,399.8,East
2024-10-18,BOOK002,The Art of Cooking,Books,9,32.99,296.91,South
2024-10-18,PETS003,Pet Carrier Medium,Pet Supplies,45,39.99,1799.55,North
2024-10-18,CLTH001,Running Shoes Men,Clothing,40,89.99,3599.6,South
2024-10-18,ELEC002,USB-C Fast Charger,Electronics,67,20.11,1347.37,South
2024-10-19,SPRT004,Camping Tent 4-Person,Sports & Outdoors,36,149.99,5399.64,North
2024-10-19,SPRT003,Hiking Backpack 40L,Sports & Outdoors,35,66.55,2329.25,Central
2024-10-19,OFFC004,Wireless Mouse,Office Supplies,1,29.99,29.99,West
2024-10-19,SPRT002,Resistance Bands Set,Sports & Outdoors,25,19.99,499.75,North
2024-10-19,OFFC003,Notebook Set Premium,Office Supplies,2,18.99,37.98,South
2024-10-19,ELEC004,Smart Watch Pro,Electronics,60,199.99,11999.4,North
2024-10-19,CLTH001,Running Shoes Men,Clothing,21,89.99,1889.79,East
2024-10-19,FOOD001,Organic Coffee Beans 1kg,Food & Grocery,35,23.07,807.45,North
2024-10-20,OFFC003,Notebook Set Premium,Office Supplies,37,18.99,702.63,Central
2024-10-20,SPRT004,Camping Tent 4-Person,Sports & Outdoors,17,149.99,2549.83,North
2024-10-20,BEAU003,Electric Toothbrush,Beauty & Personal Care,2,49.99,99.98,Central
2024-10-20,BOOK003,Mystery Novel Collection,Books,32,21.69,694.08,South
2024-10-20,ELEC001,Wireless Bluetooth Headphones,Electronics,37,65.77,2433.49,South
2024-10-20,BEAU002,Hair Dryer Professional,Beauty & Personal Care,24,59.99,1439.76,North
2024-10-20,BOOK002,The Art of Cooking,Books,2,32.99,65.98,North
2024-10-20,SPRT004,Camping Tent 4-Person,Sports & Outdoors,50,149.99,7499.5,Central
2024-10-20,PETS001,Dog Food Premium 10kg,Pet Supplies,31,54.99,1704.69,East
2024-10-20,BOOK002,The Art of Cooking,Books,40,32.99,1319.6,North
2024-10-20,BOOK001,Python Programming Guide,Books,6,37.74,226.44,East
2024-10-21,HOME003,Air Fryer 5.5L,Home & Kitchen,41,129.99,5329.59,Central
2024-10-21,PETS002,Cat Scratching Post,Pet Supplies,19,44.99,854.81,Central
2024-10-21,BEAU003,Electric Toothbrush,Beauty & Personal Care,43,49.99,2149.57,Central
2024-10-21,OFFC003,Notebook Set Premium,Office Supplies,47,15.65,735.55,West
2024-10-21,ELEC003,Portable Power Bank 20000mAh,Electronics,7,49.99,349.93,West
2024-10-21,BEAU003,Electric Toothbrush,Beauty & Personal Care,22,49.99,1099.78,Central
2024-10-21,PETS001,Dog Food Premium 10kg,Pet Supplies,44,54.99,2419.56,South
2024-10-21,TOYS003,Remote Control Car,Toys & Games,38,49.99,1899.62,South
2024-10-21,PETS001,Dog Food Premium 10kg,Pet Supplies,19,54.99,1044.81,Central
2024-10-21,OFFC003,Notebook Set Premium,Office Supplies,2,18.99,37.98,North
2024-10-21,BEAU003,Electric Toothbrush,Beauty & Personal Care,9,49.99,449.91,Central
2024-10-21,BEAU001,Vitamin C Serum,Beauty & Personal Care,45,26.04,1171.8,South
2024-10-21,SPRT002,Resistance Bands Set,Sports & Outdoors,37,19.99,739.63,North
2024-10-22,SPRT001,Yoga Mat Premium,Sports & Outdoors,30,34.99,1049.7,Central
2024-10-22,BOOK002,The Art of Cooking,Books,25,32.99,824.75,West
2024-10-22,CLTH004,Denim Jeans Classic,Clothing,10,46.36,463.6,North
2024-10-22,CLTH002,Winter Jacket Women,Clothing,57,129.99,7409.43,South
2024-10-22,CLTH001,Running Shoes Men,Clothing,37,89.99,3329.63,West
2024-10-22,OFFC004,Wireless Mouse,Office Supplies,50,27.64,1382.0,Central
2024-10-22,OFFC004,Wireless Mouse,Office Supplies,43,29.99,1289.57,Central
2024-10-22,SPRT003,Hiking Backpack 40L,Sports & Outdoors,32,79.99,2559.68,West
2024-10-22,BEAU001,Vitamin C Serum,Beauty & Personal Care,3,27.05,81.15,West
2024-10-22,OFFC003,Notebook Set Premium,Office Supplies,35,18.99,664.65,East
2024-10-22,ELEC002,USB-C Fast Charger,Electronics,55,24.99,1374.45,East
2024-10-22,OFFC001,Ergonomic Office Chair,Office Supplies,29,249.99,7249.71,South
2024-10-22,BOOK001,Python Programming Guide,Books,39,42.59,1661.01,South
2024-10-22,BEAU001,Vitamin C Serum,Beauty & Personal Care,43,28.99,1246.57,Central
2024-10-22,BOOK002,The Art of Cooking,Books,3,32.99,98.97,North
2024-10-22,BOOK001,Python Programming Guide,Books,13,44.99,584.87,Central
2024-10-22,CLTH003,Cotton T-Shirt Pack (3),Clothing,19,26.71,507.49,Central
2024-10-22,HOME001,Stainless Steel Coffee Maker,Home & Kitchen,11,89.99,989.89,Central
2024-10-23,BEAU002,Hair Dryer Professional,Beauty & Personal Care,9,59.99,539.91,South
2024-10-23,BOOK001,Python Programming Guide,Books,20,44.99,899.8,Central
2024-10-23,SPRT001,Yoga Mat Premium,Sports & Outdoors,27,34.99,944.73,West
2024-10-23,OFFC004,Wireless Mouse,Office Supplies,25,29.99,749.75,Central
2024-10-23,BOOK002,The Art of Cooking,Books,45,28.24,1270.8,South
2024-10-23,ELEC003,Portable Power Bank 20000mAh,Electronics,43,49.99,2149.57,South
2024-10-23,OFFC004,Wireless Mouse,Office Supplies,5,25.57,127.85,North
2024-10-23,HOME003,Air Fryer 5.5L,Home & Kitchen,20,129.99,2599.8,North
2024-10-23,FOOD002,Protein Bars Box (12),Food & Grocery,50,29.99,1499.5,West
2024-10-23,ELEC004,Smart Watch Pro,Electronics,69,199.99,13799.31,West
2024-10-24,ELEC001,Wireless Bluetooth Headphones,Electronics,18,79.99,1439.82,East
2024-10-24,TOYS003,Remote Control Car,Toys & Games,14,49.99,699.86,East
2024-10-24,FOOD003,Green Tea Collection,Food & Grocery,15,19.99,299.85,West
2024-10-24,ELEC002,USB-C Fast Charger,Electronics,39,21.18,826.02,North
2024-10-24,ELEC004,Smart Watch Pro,Electronics,21,199.99,4199.79,West
2024-10-24,CLTH001,Running Shoes Men,Clothing,67,89.99,6029.33,West
2024-10-25,CLTH003,Cotton T-Shirt Pack (3),Clothing,27,24.72,667.44,East
2024-10-25,OFFC002,LED Desk Lamp,Office Supplies,37,39.99,1479.63,North
2024-10-25,BEAU001,Vitamin C Serum,Beauty & Personal Care,41,28.99,1188.59,Central
2024-10-25,PETS002,Cat Scratching Post,Pet Supplies,32,44.99,1439.68,South
2024-10-25,ELEC001,Wireless Bluetooth Headphones,Electronics,3,79.99,239.97,East
2024-10-25,HOME003,Air Fryer 5.5L,Home & Kitchen,26,107.49,2794.74,Central
2024-10-25,TOYS003,Remote Control Car,Toys & Games,41,49.99,2049.59,North
2024-10-25,ELEC003,Portable Power Bank 20000mAh,Electronics,9,44.12,397.08,West
2024-10-25,SPRT003,Hiking Backpack 40L,Sports & Outdoors,26,70.86,1842.36,East
2024-10-25,HOME003,Air Fryer 5.5L,Home & Kitchen,5,129.99,649.95,East
2024-10-25,ELEC001,Wireless Bluetooth Headphones,Electronics,48,79.99,3839.52,South
2024-10-25,OFFC004,Wireless Mouse,Office Supplies,20,29.99,599.8,East
2024-10-25,ELEC004,Smart Watch Pro,Electronics,69,199.99,13799.31,South
2024-10-25,BEAU001,Vitamin C Serum,Beauty & Personal Care,6,28.99,173.94,West
2024-10-25,OFFC002,LED Desk Lamp,Office Supplies,44,36.14,1590.16,East
2024-10-25,BEAU001,Vitamin C Serum,Beauty & Personal Care,27,28.99,782.73,East
2024-10-25,TOYS003,Remote Control Car,Toys & Games,3,49.99,149.97,South
2024-10-25,HOME002,Non-Stick Frying Pan Set,Home & Kitchen,14,45.99,643.86,North
